Part,Appraiser,Response,Rep.no,S.Event
1.0,1.0,16.38,1.0,*
1.0,1.0,16.31,2.0,*
2.0,1.0,16.92,1.0,*
2.0,1.0,16.92,2.0,*
3.0,1.0,16.69,1.0,*
3.0,1.0,16.62,2.0,*
4.0,1.0,16.82,1.0,*
4.0,1.0,16.85,2.0,*
5.0,1.0,16.23,1.0,*
5.0,1.0,16.21,2.0,*
6.0,1.0,16.92,1.0,*
6.0,1.0,16.92,2.0,*
7.0,1.0,16.85,1.0,*
7.0,1.0,16.85,2.0,*
8.0,1.0,16.69,1.0,*
8.0,1.0,16.62,2.0,*
9.0,1.0,16.92,1.0,*
9.0,1.0,16.92,2.0,*
10.0,1.0,16.31,1.0,*
10.0,1.0,16.32,2.0,*
1.0,2.0,16.23,1.0,*
1.0,2.0,16.23,2.0,*
2.0,2.0,17.0,1.0,*
2.0,2.0,17.05,2.0,Break
3.0,2.0,16.62,1.0,*
3.0,2.0,16.54,2.0,*
4.0,2.0,16.84,1.0,*
4.0,2.0,16.85,2.0,*
5.0,2.0,16.0,1.0,*
5.0,2.0,16.0,2.0,*
6.0,2.0,16.97,1.0,*
6.0,2.0,17.0,2.0,*
7.0,2.0,16.8,1.0,*
7.0,2.0,16.77,2.0,*
8.0,2.0,16.54,1.0,*
8.0,2.0,16.52,2.0,*
9.0,2.0,16.92,1.0,Break
9.0,2.0,16.89,2.0,*
10.0,2.0,16.3,1.0,Break
10.0,2.0,16.27,2.0,*
1.0,3.0,16.15,1.0,*
1.0,3.0,16.23,2.0,*
2.0,3.0,17.0,1.0,Re.Carib
2.0,3.0,16.92,2.0,*
3.0,3.0,16.62,1.0,*
3.0,3.0,16.62,2.0,*
4.0,3.0,16.75,1.0,*
4.0,3.0,16.79,2.0,*
5.0,3.0,16.11,1.0,Re.Carib
5.0,3.0,16.15,2.0,*
6.0,3.0,16.92,1.0,*
6.0,3.0,17.0,2.0,Re.Carib
7.0,3.0,16.85,1.0,*
7.0,3.0,16.85,2.0,*
8.0,3.0,16.62,1.0,*
8.0,3.0,16.62,2.0,*
9.0,3.0,17.0,1.0,*
9.0,3.0,17.0,2.0,*
10.0,3.0,16.33,1.0,*
10.0,3.0,16.31,2.0,*
