Part,Operator,Response
1.0,Kim,15.4257
2.0,Kim,15.5018
3.0,Kim,15.7251
4.0,Kim,15.1429
5.0,Kim,14.1119
1.0,Kim,16.8677
2.0,Kim,15.1628
3.0,Kim,12.8191
4.0,Kim,13.8563
5.0,Kim,16.5675
6.0,Lee,13.1025
7.0,Lee,13.8316
8.0,Lee,16.8404
9.0,Lee,15.1448
10.0,Lee,16.3736
6.0,Lee,15.5494
7.0,Lee,14.2388
8.0,Lee,14.325
9.0,Lee,14.1578
10.0,Lee,17.5779
11.0,Park,14.0156
12.0,Park,14.7948
13.0,Park,14.2155
14.0,Park,16.4566
15.0,Park,15.0697
11.0,Park,16.0597
12.0,Park,14.8448
13.0,Park,13.7057
14.0,Park,16.2174
15.0,Park,16.3231
