Part_No,Appraiser,Data,Standard
1.0,A,G,G
1.0,A,G,G
1.0,A,G,G
1.0,B,G,G
1.0,B,G,G
1.0,B,G,G
1.0,C,G,G
1.0,C,G,G
1.0,C,G,G
2.0,A,G,G
2.0,A,G,G
2.0,A,G,G
2.0,B,G,G
2.0,B,G,G
2.0,B,G,G
2.0,C,G,G
2.0,C,G,G
2.0,C,G,G
3.0,A,NG,NG
3.0,A,NG,NG
3.0,A,NG,NG
3.0,B,NG,NG
3.0,B,NG,NG
3.0,B,NG,NG
3.0,C,NG,NG
3.0,C,NG,NG
3.0,C,NG,NG
4.0,A,G,G
4.0,A,G,G
4.0,A,G,G
4.0,B,G,G
4.0,B,G,G
4.0,B,G,G
4.0,C,G,G
4.0,C,G,G
4.0,C,G,G
5.0,A,NG,NG
5.0,A,NG,NG
5.0,A,NG,NG
5.0,B,NG,NG
5.0,B,G,NG
5.0,B,NG,NG
5.0,C,G,NG
5.0,C,G,NG
5.0,C,G,NG
6.0,A,G,G
6.0,A,G,G
6.0,A,G,G
6.0,B,G,G
6.0,B,NG,G
6.0,B,NG,G
6.0,C,G,G
6.0,C,G,G
6.0,C,G,G
7.0,A,NG,NG
7.0,A,NG,NG
7.0,A,NG,NG
7.0,B,NG,NG
7.0,B,NG,NG
7.0,B,NG,NG
7.0,C,NG,NG
7.0,C,NG,NG
7.0,C,NG,NG
8.0,A,NG,NG
8.0,A,NG,NG
8.0,A,NG,NG
8.0,B,NG,NG
8.0,B,NG,NG
8.0,B,NG,NG
8.0,C,NG,NG
8.0,C,G,NG
8.0,C,NG,NG
9.0,A,G,G
9.0,A,G,G
9.0,A,G,G
9.0,B,G,G
9.0,B,G,G
9.0,B,G,G
9.0,C,G,G
9.0,C,G,G
9.0,C,G,G
10.0,A,G,G
10.0,A,G,G
10.0,A,G,G
10.0,B,G,G
10.0,B,G,G
10.0,B,G,G
10.0,C,G,G
10.0,C,G,G
10.0,C,G,G
11.0,A,NG,NG
11.0,A,NG,NG
11.0,A,NG,NG
11.0,B,NG,NG
11.0,B,NG,NG
11.0,B,NG,NG
11.0,C,NG,NG
11.0,C,NG,NG
11.0,C,NG,NG
12.0,A,G,G
12.0,A,NG,G
12.0,A,G,G
12.0,B,NG,G
12.0,B,NG,G
12.0,B,NG,G
12.0,C,G,G
12.0,C,G,G
12.0,C,NG,G
13.0,A,NG,NG
13.0,A,NG,NG
13.0,A,NG,NG
13.0,B,NG,NG
13.0,B,NG,NG
13.0,B,NG,NG
13.0,C,NG,NG
13.0,C,NG,NG
13.0,C,NG,NG
14.0,A,G,G
14.0,A,G,G
14.0,A,G,G
14.0,B,G,G
14.0,B,G,G
14.0,B,G,G
14.0,C,G,G
14.0,C,G,G
14.0,C,G,G
15.0,A,NG,NG
15.0,A,NG,NG
15.0,A,NG,NG
15.0,B,NG,NG
15.0,B,NG,NG
15.0,B,NG,NG
15.0,C,NG,NG
15.0,C,NG,NG
15.0,C,NG,NG
