ID,Group,KO,MA,IN,MC,MC.L,MC.C
1.0,1.0,1.87,1.93,1.94,1.846,1.0,OA
2.0,1.0,2.12,2.06,1.96,1.833,1.0,OA
3.0,1.0,1.97,2.13,2.11,1.941,3.0,IA
4.0,1.0,1.99,2.08,1.82,1.931,1.0,IA
5.0,1.0,1.97,2.19,2.04,1.922,4.0,IA
6.0,2.0,2.01,1.87,2.02,1.865,4.0,OA
7.0,2.0,1.86,1.93,1.98,1.895,1.0,IA
8.0,2.0,2.08,2.18,2.08,2.081,4.0,KW
9.0,2.0,2.07,1.91,2.1,2.091,3.0,SU
10.0,2.0,2.08,2.09,2.12,2.076,2.0,SU
11.0,3.0,1.9,1.86,2.06,1.874,3.0,OA
12.0,3.0,1.87,2.19,1.88,1.813,1.0,OA
13.0,3.0,1.91,2.12,2.01,1.855,3.0,OA
14.0,3.0,1.94,1.84,1.92,1.917,1.0,IA
15.0,3.0,1.88,1.88,1.98,1.926,2.0,IA
16.0,4.0,2.01,1.94,1.9,1.824,1.0,OA
17.0,4.0,2.19,1.85,1.86,2.079,4.0,KW
18.0,4.0,2.01,2.09,2.07,2.08,1.0,KW
19.0,4.0,1.93,2.09,1.82,2.082,2.0,SU
20.0,4.0,1.8,2.1,2.13,2.058,1.0,SU
21.0,5.0,2.1,2.06,1.88,1.933,2.0,IA
22.0,5.0,2.13,1.85,1.9,1.901,3.0,IA
23.0,5.0,1.99,1.85,2.2,1.934,1.0,IA
24.0,5.0,2.03,2.09,1.93,2.085,2.0,SU
25.0,5.0,1.94,2.09,1.93,2.097,2.0,SU
26.0,6.0,2.1,1.86,2.1,1.932,2.0,IA
27.0,6.0,1.91,2.11,1.82,1.921,3.0,IA
28.0,6.0,2.09,2.14,1.95,2.079,3.0,KW
29.0,6.0,1.89,2.15,1.92,2.08,1.0,KW
30.0,6.0,1.97,1.99,1.92,2.15,4.0,SU
31.0,7.0,1.88,1.83,2.08,1.921,4.0,IA
32.0,7.0,2.0,2.03,2.08,1.919,3.0,IA
33.0,7.0,1.85,2.11,1.85,1.938,1.0,IA
34.0,7.0,2.2,2.04,2.26,1.949,2.0,IA
35.0,7.0,2.07,2.03,1.98,2.174,1.0,SU
36.0,8.0,1.91,1.8,2.07,1.903,3.0,IA
37.0,8.0,2.09,1.8,1.88,2.08,1.0,KW
38.0,8.0,2.07,1.93,1.92,2.081,4.0,KW
39.0,8.0,1.89,1.97,2.27,2.115,1.0,SU
40.0,8.0,1.79,2.07,1.81,2.09,4.0,SU
41.0,9.0,2.0,1.93,1.98,1.935,3.0,IA
42.0,9.0,1.67,2.17,1.9,1.906,2.0,IA
43.0,9.0,2.13,1.81,1.97,2.143,2.0,SU
44.0,9.0,2.11,1.98,1.91,2.08,2.0,SU
45.0,9.0,2.0,1.95,1.97,2.134,4.0,SU
46.0,10.0,2.14,2.16,1.87,1.94,1.0,IA
47.0,10.0,2.04,2.08,1.9,1.91,4.0,IA
48.0,10.0,1.89,2.07,1.97,2.08,3.0,KW
49.0,10.0,1.85,1.99,2.1,2.159,3.0,SU
50.0,10.0,2.01,2.1,2.22,2.13,4.0,SU
51.0,11.0,1.95,1.88,1.92,1.873,4.0,OA
52.0,11.0,2.05,2.07,1.86,1.86,4.0,OA
53.0,11.0,1.97,2.07,2.14,1.865,1.0,OA
54.0,11.0,2.09,1.97,2.15,2.096,1.0,SU
55.0,11.0,2.06,2.15,1.97,2.095,2.0,SU
56.0,12.0,2.11,2.12,1.89,1.88,3.0,OA
57.0,12.0,1.99,1.98,2.01,2.081,2.0,KW
58.0,12.0,1.96,1.95,2.09,2.038,1.0,SU
59.0,12.0,2.1,2.05,2.04,2.1,1.0,SU
60.0,12.0,1.85,2.13,1.95,2.051,4.0,SU
61.0,13.0,1.9,2.16,1.92,1.832,4.0,OA
62.0,13.0,2.07,2.07,2.12,1.864,2.0,OA
63.0,13.0,1.92,1.94,1.97,1.913,1.0,IA
64.0,13.0,1.93,1.97,1.99,1.924,1.0,IA
65.0,13.0,2.19,1.94,1.99,2.049,1.0,SU
66.0,14.0,2.01,1.96,2.23,1.854,4.0,OA
67.0,14.0,2.04,1.81,1.8,1.858,1.0,OA
68.0,14.0,1.99,1.83,2.13,2.079,1.0,KW
69.0,14.0,1.87,1.82,1.87,2.08,1.0,KW
70.0,14.0,1.98,1.9,1.97,2.087,3.0,SU
71.0,15.0,1.99,2.02,1.87,1.855,4.0,OA
72.0,15.0,2.14,2.07,1.93,1.897,4.0,IA
73.0,15.0,2.08,1.92,2.03,1.875,3.0,IA
74.0,15.0,2.01,2.0,2.06,1.9,4.0,IA
75.0,15.0,1.95,1.82,1.95,2.078,1.0,KW
76.0,16.0,2.08,2.08,2.03,1.93,4.0,IA
77.0,16.0,2.02,1.89,2.05,2.082,3.0,SU
78.0,16.0,2.05,1.85,2.01,2.145,1.0,SU
79.0,16.0,2.06,2.16,1.94,2.041,4.0,SU
80.0,16.0,2.01,2.07,2.29,2.155,3.0,SU
81.0,17.0,1.99,2.03,1.79,1.83,2.0,OA
82.0,17.0,1.84,1.83,1.79,1.904,4.0,IA
83.0,17.0,2.07,1.82,1.85,2.15,2.0,SU
84.0,17.0,2.07,1.9,2.08,2.12,4.0,SU
85.0,17.0,2.09,2.01,1.94,2.155,2.0,SU
86.0,18.0,2.03,1.95,1.96,1.843,2.0,OA
87.0,18.0,1.92,1.95,2.1,1.901,3.0,IA
88.0,18.0,2.05,2.03,1.82,2.081,1.0,KW
89.0,18.0,2.01,1.95,1.85,2.091,1.0,SU
90.0,18.0,2.05,1.85,1.83,2.142,4.0,SU
91.0,19.0,1.84,2.19,2.01,1.892,1.0,OA
92.0,19.0,2.09,1.83,1.99,1.899,4.0,IA
93.0,19.0,2.03,1.88,1.92,2.078,3.0,KW
94.0,19.0,2.25,2.1,1.85,2.08,2.0,SU
95.0,19.0,1.98,1.97,1.99,2.102,4.0,SU
96.0,20.0,1.92,2.01,2.16,1.881,1.0,OA
97.0,20.0,2.0,2.14,1.93,1.92,3.0,IA
98.0,20.0,1.95,2.18,2.08,2.079,2.0,KW
99.0,20.0,2.01,2.09,1.88,2.149,4.0,SU
100.0,20.0,1.98,2.07,1.94,2.121,4.0,SU
