No,P.Resolution,A.Resolution,IR Filter Type,Filter Size,모듈 제조사,Auto Fucus,Satisfaction
1.0,685.7142857142858,1555.5555555555557,A Type,11.918461538461539,B사,Off,33.0
2.0,542.8571428571429,844.4444444444446,A Type,12.065,B사,On,18.6
3.0,671.4285714285714,1022.2222222222223,B Type,12.113846153846152,B사,Off,28.95
4.0,428.5714285714286,733.3333333333334,A Type,12.113846153846152,B사,On,24.0
5.0,542.8571428571429,844.4444444444446,B Type,12.113846153846152,A사,Off,18.6
6.0,485.7142857142858,755.5555555555555,A Type,12.113846153846152,B사,On,19.5
7.0,442.85714285714283,1088.888888888889,B Type,12.260384615384615,A사,Off,20.4
8.0,714.2857142857143,1277.7777777777778,B Type,12.30923076923077,B사,Off,24.45
9.0,514.2857142857143,777.7777777777778,A Type,12.30923076923077,B사,On,23.1
10.0,585.7142857142858,888.8888888888889,A Type,12.30923076923077,B사,On,22.2
11.0,621.4285714285714,933.3333333333334,A Type,12.30923076923077,B사,On,12.75
12.0,571.4285714285714,822.2222222222223,A Type,12.504615384615384,B사,On,15.9
13.0,642.8571428571429,1022.2222222222223,B Type,12.504615384615384,B사,Off,26.25
14.0,628.5714285714287,822.2222222222223,B Type,12.7,B사,Off,30.75
15.0,600.0,888.8888888888889,A Type,12.7,B사,On,23.1
16.0,442.85714285714283,733.3333333333334,A Type,12.7,B사,On,24.9
17.0,471.42857142857144,844.4444444444446,A Type,12.7,B사,On,21.75
18.0,435.7142857142858,777.7777777777778,A Type,12.797692307692309,A사,On,24.0
19.0,457.14285714285717,977.7777777777778,A Type,12.895384615384614,B사,Off,33.0
20.0,514.2857142857143,888.8888888888889,A Type,12.895384615384614,B사,Off,30.75
21.0,442.85714285714283,1111.111111111111,A Type,12.895384615384614,B사,Off,24.0
22.0,414.28571428571433,644.4444444444446,A Type,12.895384615384614,B사,On,30.75
23.0,500.0,688.8888888888889,B Type,12.895384615384614,B사,Off,28.5
24.0,457.14285714285717,666.6666666666666,A Type,12.895384615384614,B사,On,28.5
25.0,471.42857142857144,800.0,A Type,12.895384615384614,B사,On,26.25
26.0,485.7142857142858,844.4444444444446,A Type,13.090769230769231,B사,Off,35.25
27.0,485.7142857142858,733.3333333333334,B Type,13.090769230769231,B사,Off,37.5
28.0,642.8571428571429,977.7777777777778,B Type,13.090769230769231,B사,Off,33.0
29.0,528.5714285714287,844.4444444444446,A Type,13.090769230769231,B사,On,25.35
30.0,414.28571428571433,622.2222222222223,A Type,13.090769230769231,A사,On,26.25
31.0,557.1428571428571,866.6666666666666,A Type,13.090769230769231,A사,On,21.75
32.0,614.2857142857143,933.3333333333334,A Type,13.090769230769231,B사,On,37.5
33.0,557.1428571428571,1155.5555555555557,B Type,13.286153846153846,B사,Off,28.5
34.0,585.7142857142858,1111.111111111111,A Type,13.286153846153846,B사,Off,32.1
35.0,685.7142857142858,1288.8888888888891,A Type,13.286153846153846,A사,Off,22.2
36.0,571.4285714285714,1422.2222222222224,A Type,13.286153846153846,B사,Off,26.25
37.0,514.2857142857143,822.2222222222223,B Type,13.286153846153846,B사,Off,39.75
38.0,642.8571428571429,1000.0,A Type,13.286153846153846,A사,On,35.25
39.0,485.7142857142858,733.3333333333334,A Type,13.286153846153846,B사,On,39.75
40.0,514.2857142857143,755.5555555555555,A Type,13.286153846153846,B사,On,19.5
41.0,557.1428571428571,888.8888888888889,A Type,13.286153846153846,A사,On,29.85
42.0,457.14285714285717,888.8888888888889,A Type,13.481538461538461,B사,Off,39.75
43.0,471.42857142857144,911.1111111111112,B Type,13.481538461538461,B사,On,48.75
44.0,557.1428571428571,1311.111111111111,A Type,13.481538461538461,B사,Off,35.25
45.0,628.5714285714287,1222.2222222222224,B Type,13.481538461538461,B사,Off,37.5
46.0,514.2857142857143,822.2222222222223,B Type,13.481538461538461,B사,Off,46.5
47.0,385.7142857142857,622.2222222222223,B Type,13.481538461538461,A사,Off,35.25
48.0,385.7142857142857,555.5555555555555,A Type,13.481538461538461,A사,On,42.0
49.0,657.1428571428571,1044.4444444444446,B Type,13.481538461538461,B사,Off,37.5
50.0,485.7142857142858,755.5555555555555,A Type,13.481538461538461,B사,On,37.5
51.0,485.7142857142858,711.1111111111112,A Type,13.579230769230769,A사,On,37.5
52.0,528.5714285714287,844.4444444444446,A Type,13.676923076923078,B사,Off,40.65
53.0,471.42857142857144,1133.3333333333333,A Type,13.676923076923078,A사,Off,28.5
54.0,485.7142857142858,1244.4444444444446,A Type,13.676923076923078,B사,Off,26.25
55.0,442.85714285714283,733.3333333333334,A Type,13.676923076923078,A사,On,39.75
56.0,500.0,777.7777777777778,A Type,13.676923076923078,B사,On,37.5
57.0,542.8571428571429,1311.111111111111,A Type,13.872307692307693,B사,Off,32.1
58.0,428.5714285714286,844.4444444444446,A Type,13.872307692307693,B사,Off,46.5
59.0,500.0,1177.7777777777778,A Type,13.872307692307693,A사,Off,46.5
60.0,428.5714285714286,688.8888888888889,A Type,13.872307692307693,B사,On,39.75
61.0,485.7142857142858,755.5555555555555,A Type,13.872307692307693,B사,On,37.5
62.0,514.2857142857143,777.7777777777778,A Type,13.872307692307693,B사,On,33.0
63.0,428.5714285714286,777.7777777777778,B Type,13.97,A사,Off,43.8
64.0,414.28571428571433,777.7777777777778,A Type,14.067692307692308,B사,Off,35.25
65.0,442.85714285714283,833.3333333333334,A Type,14.067692307692308,B사,Off,57.75
66.0,571.4285714285714,1066.6666666666667,A Type,14.067692307692308,B사,Off,39.75
67.0,442.85714285714283,644.4444444444446,A Type,14.067692307692308,B사,Off,48.75
68.0,542.8571428571429,844.4444444444446,A Type,14.067692307692308,B사,On,66.75
69.0,557.1428571428571,844.4444444444446,A Type,14.067692307692308,B사,On,51.0
70.0,485.7142857142858,755.5555555555555,A Type,14.067692307692308,B사,On,33.9
71.0,471.42857142857144,866.6666666666666,B Type,14.263076923076921,B사,On,55.5
72.0,528.5714285714287,933.3333333333334,A Type,14.263076923076921,A사,Off,44.25
73.0,500.0,800.0,B Type,14.263076923076921,B사,On,46.5
74.0,528.5714285714287,777.7777777777778,A Type,14.263076923076921,B사,On,39.75
75.0,528.5714285714287,822.2222222222223,A Type,14.263076923076921,B사,On,39.75
76.0,585.7142857142858,933.3333333333334,B Type,14.263076923076921,B사,Off,51.0
77.0,442.85714285714283,755.5555555555555,B Type,14.263076923076921,B사,Off,39.75
78.0,442.85714285714283,844.4444444444446,B Type,14.36076923076923,B사,On,42.0
79.0,628.5714285714287,933.3333333333334,A Type,14.36076923076923,B사,On,39.75
80.0,485.7142857142858,800.0,A Type,14.458461538461538,A사,Off,55.5
81.0,485.7142857142858,844.4444444444446,B Type,14.458461538461538,A사,On,51.0
82.0,442.85714285714283,688.8888888888889,A Type,14.458461538461538,B사,On,55.5
83.0,542.8571428571429,844.4444444444446,A Type,14.458461538461538,B사,On,36.6
84.0,500.0,1044.4444444444446,B Type,14.653846153846153,B사,Off,53.25
85.0,457.14285714285717,688.8888888888889,A Type,14.653846153846153,B사,On,42.0
86.0,500.0,733.3333333333334,B Type,14.653846153846153,A사,Off,55.5
