Strength,Suplier,
7.2,A,
7.26,A,
7.1,A,
6.922,A,
7.438,B,
7.279999999999999,A,
7.244,B,
6.959999999999999,A,
7.458,B,
7.06,A,
7.562,A,
7.026000000000001,B,
7.4,A,
7.42,B,
6.8,B,
7.35,A,
7.1,A,
7.44,A,
7.2,B,
6.854000000000001,A,
7.518000000000001,B,
7.140000000000001,A,
6.8,B,
7.2,A,
6.959999999999999,B,
7.159999999999999,B,
7.290000000000001,A,
6.946,A,
7.44,A,
6.876,A,
6.959999999999999,B,
7.040000000000001,B,
7.372,B,
7.2700000000000005,B,
7.340000000000001,B,
7.1,B,
7.08,A,
7.162000000000001,B,
7.159999999999999,B,
7.540000000000001,A,
7.5,A,
6.956,B,
7.5120000000000005,B,
7.392,B,
7.4959999999999996,B,
7.464,B,
7.159999999999999,B,
7.198,B,
7.340000000000001,B,
7.62,A,
7.18,A,
7.066,A,
7.151999999999999,A,
7.118,B,
6.790000000000001,A,
7.368,B,
7.42,A,
7.140000000000001,A,
