ID,T.Length,D.Length,Width,Strength,Spot.25,Dot,Suplier,Delay.T,F.Temperature,C.RPM,S.Event,PASS
2.0,38.28,38.89,3.05,16.77,9.0,N,A,1T,1L,2M,,Fail
3.0,32.58,33.11,3.1,16.42,3.0,N,A,4T,1L,2M,,Pass
4.0,34.61,35.07,2.76,19.35,0.0,N,A,4T,2M,2M,Break,Pass
5.0,37.19,36.75,2.83,21.93,3.0,N,B,4T,3H,4H,,Pass
6.0,38.82,39.04,2.96,18.36,0.0,N,A,1T,2M,2M,Change P,Pass
7.0,36.22,36.0,4.3,22.02,4.0,N,B,4T,3H,3H,Change P,Pass
8.0,39.08,40.1,2.89,13.46,1.0,N,A,4T,1L,1L,,Pass
9.0,37.29,37.2,2.22,21.2,3.0,N,B,3T,3H,3H,,Pass
10.0,39.84,40.71,2.94,13.69,3.0,N,A,2T,1L,1L,,Pass
11.0,37.81,38.24,2.9,17.62,1.0,N,A,4T,2M,2M,,Pass
13.0,34.24,34.55,2.98,17.04,0.0,N,A,3T,2M,2M,,Pass
15.0,36.34,36.01,2.01,17.28,3.0,N,B,2T,3H,4H,,Pass
17.0,33.42,34.29,3.09,15.6,5.0,N,A,2T,1L,2M,,Pass
18.0,33.03,34.13,3.01,13.67,2.0,Y,A,4T,1L,1L,,Pass
19.0,41.33,41.4,2.14,18.11,3.0,N,B,4T,2M,3H,Change P,Pass
20.0,34.27,34.72,2.88,19.28,0.0,N,A,3T,2M,2M,Break,Pass
21.0,37.59,37.69,2.6,19.41,0.0,N,B,2T,2M,3H,Change P,Pass
22.0,32.8,33.24,3.04,17.58,0.0,N,A,3T,2M,2M,,Pass
23.0,41.61,41.76,3.4,18.87,1.0,N,B,2T,2M,3H,,Pass
24.0,38.13,38.57,3.08,19.19,0.0,N,A,2T,2M,2M,,Pass
26.0,41.36,41.49,3.62,19.71,0.0,N,B,2T,2M,3H,,Pass
27.0,41.7,42.83,3.08,13.7,3.0,Y,A,3T,1L,1L,,Pass
28.0,34.73,35.31,3.25,17.04,6.0,N,A,4T,1L,2M,,Fail
29.0,33.13,34.22,2.81,14.82,4.0,N,A,3T,1L,1L,,Pass
30.0,34.38,34.74,2.9,17.28,1.0,N,A,1T,2M,2M,,Pass
31.0,31.79,31.87,3.41,20.05,5.0,N,B,1T,2M,3H,Break,Pass
32.0,37.68,37.76,3.3,19.47,0.0,N,B,2T,2M,3H,,Pass
33.0,37.53,37.38,1.93,19.53,6.0,N,B,1T,3H,3H,,Fail
35.0,36.7,36.05,2.94,20.84,4.0,N,B,2T,3H,4H,,Pass
36.0,29.34,28.37,3.08,24.61,1.0,N,B,4T,3H,4H,Replace W,Pass
37.0,33.46,34.39,3.03,16.35,3.0,N,A,1T,1L,1L,,Pass
38.0,35.81,35.91,2.38,19.69,0.0,N,B,1T,2M,3H,,Pass
39.0,32.07,31.99,3.81,20.68,2.0,N,B,4T,3H,3H,,Pass
40.0,38.85,39.36,2.99,17.04,5.0,N,A,3T,1L,2M,,Pass
41.0,40.74,40.91,3.11,17.48,0.0,N,A,3T,2M,3H,,Pass
43.0,37.56,37.54,2.37,19.63,1.0,N,B,1T,2M,3H,,Pass
44.0,36.96,36.46,3.1,22.43,2.0,N,B,2T,3H,4H,,Pass
45.0,37.48,37.35,2.32,21.27,3.0,N,B,4T,3H,3H,,Pass
46.0,32.47,32.6,4.54,20.66,0.0,N,B,4T,2M,3H,Break,Pass
47.0,35.8,35.78,2.23,19.94,5.0,N,B,4T,3H,3H,,Pass
48.0,35.99,35.93,3.6,19.76,5.0,N,B,4T,3H,3H,,Pass
50.0,38.36,39.0,3.04,17.0,2.0,N,A,1T,1L,1L,,Pass
51.0,41.68,42.79,3.14,15.26,7.0,N,A,2T,1L,1L,,Fail
52.0,33.05,34.21,2.89,14.46,0.0,N,A,1T,1L,1L,,Pass
53.0,32.88,33.64,3.07,17.48,7.0,N,A,3T,1L,2M,,Fail
54.0,35.59,35.49,3.4,20.86,0.0,N,B,1T,3H,2M,,Pass
55.0,33.95,34.51,3.12,16.6,5.0,N,A,4T,1L,2M,,Pass
56.0,36.84,36.33,3.24,23.53,0.0,N,B,3T,3H,4H,,Pass
57.0,39.22,40.25,3.16,16.7,6.0,Y,A,3T,1L,1L,,Fail
58.0,38.06,38.41,3.13,17.21,0.0,N,A,2T,2M,2M,Change P,Pass
