test_delay,PASS,전송방식
3.0,Pass,A
0.0,Pass,A
3.0,Pass,A
0.0,Pass,A
6.0,Fail,A
3.0,Pass,A
9.0,Fail,A
5.0,Pass,A
0.0,Pass,A
0.0,Pass,A
3.0,Pass,A
5.0,Pass,A
2.0,Pass,A
0.0,Pass,A
0.0,Pass,A
2.0,Pass,A
0.0,Pass,A
1.0,Pass,A
4.0,Pass,A
2.0,Pass,A
0.0,Pass,A
1.0,Pass,A
2.0,Pass,A
3.0,Pass,A
7.0,Fail,A
5.0,Pass,A
7.0,Fail,A
0.0,Pass,A
5.0,Pass,B
3.0,Pass,B
0.0,Pass,B
4.0,Pass,B
0.0,Pass,B
0.0,Pass,B
3.0,Pass,B
5.0,Pass,B
1.0,Pass,B
3.0,Pass,B
6.0,Fail,A
0.0,Pass,B
1.0,Pass,B
5.0,Pass,B
5.0,Pass,B
0.0,Pass,B
1.0,Pass,B
5.0,Pass,B
3.0,Pass,B
0.0,Pass,B
3.0,Pass,B
0.0,Pass,B
2.0,Pass,B
5.0,Pass,B
1.0,Pass,B
4.0,Pass,B
1.0,Pass,B
2.0,Pass,B
3.0,Pass,B
6.0,Fail,B
