Fan1,Fan2,Fan3,Fan4,Fan5,Response,PictureMode,Chamber No,Bright
10.5,7.0,8.5,9.0,8.0,58.86666666666665,Standard,4.0,High
3.5,4.0,2.5,10.0,5.0,71.33333333333336,Sport,4.0,Low
3.5,8.0,3.5,12.0,5.0,65.53333333333332,Game,5.0,High
12.0,8.0,8.0,12.0,12.0,54.83333333333334,Standard,4.0,High
5.5,8.5,6.0,11.5,6.0,62.73333333333331,Game,3.0,Mid
5.5,4.5,4.0,10.5,6.0,68.29999999999998,Sport,3.0,Low
5.0,10.5,5.5,8.0,5.5,61.03333333333334,Vivid,3.0,Low
5.0,5.0,4.5,7.5,6.0,67.3,Sport,4.0,Low
5.0,9.0,7.0,11.5,4.0,61.50000000000001,Game,5.0,Low
5.5,8.5,8.0,8.5,5.0,61.099999999999994,Game,5.0,Low
5.5,10.0,8.0,10.5,4.0,59.73333333333334,Vivid,5.0,Low
7.0,9.5,6.0,9.0,9.0,58.699999999999996,Vivid,5.0,High
7.0,5.5,6.0,10.5,6.0,64.26666666666667,Game,5.0,Mid
6.5,11.5,10.0,11.5,1.5,56.99999999999998,Cinema,3.0,Low
7.0,9.5,12.0,8.0,2.0,57.066666666666684,Vivid,5.0,Mid
7.0,11.0,8.5,10.0,6.5,55.69999999999998,Cinema,4.0,Mid
0.5,4.5,4.5,12.0,0.0,72.43333333333335,Sport,3.0,Low
2.0,5.5,5.0,11.5,2.0,68.7,Sport,3.0,Mid
1.0,8.0,5.0,8.0,2.0,66.46666666666665,Sport,4.0,High
3.0,12.0,8.0,9.0,2.0,59.23333333333332,Vivid,4.0,High
2.5,9.0,5.0,8.5,6.0,62.433333333333344,Game,3.0,High
0.5,4.5,3.0,8.0,0.0,73.33333333333333,Sport,3.0,High
0.5,6.0,4.0,11.5,2.0,69.56666666666668,Sport,3.0,Low
2.0,5.5,2.0,10.5,5.0,69.30000000000003,Sport,4.0,Low
2.0,7.0,5.5,8.5,4.5,65.53333333333332,Game,5.0,Mid
