ID,BlockSize,WriteCount,Response,Vendor,Capaciter,Interface,
1.0,16.0,974795.0,58.65470500000001,IBM,250G,USB-SATA,
2.0,32.0,204030.0,128.79348099999999,Seagate,500G,USB-SATA,
3.0,64.0,72867.0,168.30275699999999,WD,320G,USB-SATA,
4.0,128.0,67967.0,146.917684,SS,500G,USB-SATA,
5.0,256.0,23080.0,180.335693,Hitachi,320G,USB-SATA,
6.0,512.0,18312.0,140.980342,Toshiba,250G,USB-SATA,
7.0,16.0,419028.0,132.536393,Sandisk,64G,USB,
8.0,32.0,608478.0,55.182173000000006,Transcend,64G,USB,
9.0,64.0,132776.0,159.90151,LG,16G,USB,
10.0,128.0,76502.0,129.23552,ADATA,16G,USB,
11.0,256.0,55124.0,123.873651,AION,16G,USB,
12.0,512.0,18.0,199.942401,Antec,8G,USB,
13.0,16.0,750649.0,53.623414,Actto,32G,USB,
14.0,32.0,416921.0,95.769647,COMFLASH,32G,USB,
15.0,64.0,187200.0,106.774223,EUROFFICE,64G,USB,
16.0,128.0,63030.0,151.466826,Lexar,16G,USB,
17.0,256.0,48125.0,121.844927,Memorex,32G,USB,
18.0,512.0,13862.0,176.947465,PQI,16G,USB,
19.0,16.0,1188249.0,45.52749499999999,SIGMA,32G,USB,
20.0,32.0,255898.0,127.836723,SONY,16G,USB,
21.0,64.0,215417.0,138.39066400000002,TDK,32G,USB,
22.0,128.0,96356.0,151.918224,TGS,32G,USB,
23.0,512.0,19959.0,156.030178,IBM,500G,USB-SATA,
24.0,16.0,575074.0,95.336505,Seagate,250G,USB-SATA,
25.0,32.0,229622.0,149.942219,WD,640G,USB-SATA,
26.0,64.0,58925.0,184.679472,SS,250G,USB-SATA,
27.0,128.0,114605.0,134.56040000000002,Hitachi,250G,USB-SATA,
28.0,256.0,18725.0,178.428657,Toshiba,500G,USB-SATA,
29.0,512.0,20337.0,155.624652,Sandisk,16G,USB,
30.0,16.0,906498.0,56.7732,Transcend,32G,USB,
31.0,32.0,489039.0,75.784034,LG,32G,USB,
32.0,64.0,262135.0,99.340142,ADATA,32G,USB,
33.0,128.0,128653.0,109.170793,AION,32G,USB,
34.0,256.0,75294.0,113.185875,Antec,32G,USB,
35.0,512.0,13507.0,157.966143,Actto,8G,USB,
36.0,16.0,730363.0,67.80426700000001,COMFLASH,16G,USB,
37.0,32.0,220128.0,152.892566,EUROFFICE,32G,USB,
38.0,64.0,178402.0,126.676599,Lexar,32G,USB,
39.0,128.0,34047.0,172.047318,Memorex,16G,USB,
40.0,256.0,38780.0,165.951099,PQI,32G,USB,
41.0,16.0,773219.0,80.151031,SIGMA,16G,USB,
42.0,32.0,473763.0,86.770626,SONY,32G,USB,
43.0,128.0,34854.0,180.098257,TDK,16G,USB,
44.0,256.0,48849.0,119.838715,TGS,16G,USB,
45.0,512.0,19714.0,146.969186,IBM,250G,USB-SATA,
46.0,16.0,370953.0,152.518001,Seagate,500G,USB-SATA,
47.0,32.0,409710.0,85.690832,WD,160G,USB-SATA,
48.0,64.0,79351.0,170.322704,SS,160G,USB-SATA,
49.0,128.0,64012.0,142.004943,Hitachi,500G,USB-SATA,
50.0,256.0,42687.0,129.993257,Toshiba,250G,USB-SATA,
51.0,512.0,24730.0,121.630514,Sandisk,32G,USB,
52.0,16.0,332525.0,161.426915,Transcend,16G,USB,
53.0,32.0,431122.0,75.836789,LG,32G,USB,
54.0,64.0,122866.0,157.733914,ADATA,8G,USB,
55.0,128.0,108029.0,109.687608,AION,16G,USB,
56.0,256.0,31018.0,157.660345,Antec,16G,USB,
57.0,512.0,26749.0,156.693314,Actto,16G,USB,
