Id,Ing1,Ing2,Ing3,Ing4,Ing5,Response,D.Loc,Print.No,Operator
1.0,21.0,47.0,4.3,24.0,9.8,82.34,UL,4.0,A
2.0,7.0,26.0,1.3,27.0,7.0,78.6,UR,4.0,C
3.0,7.0,52.0,1.8,32.0,7.2,80.34,LR,5.0,A
4.0,24.0,54.0,4.1,32.0,14.2,83.55,UL,4.0,A
5.0,11.0,56.0,2.9,31.0,7.8,81.18,LR,3.0,B
6.0,11.0,31.0,1.9,28.0,8.2,79.51,UR,3.0,C
7.0,10.0,68.0,2.7,21.0,7.3,81.69,LL,3.0,C
8.0,10.0,33.0,2.2,20.0,7.9,79.81,UR,4.0,C
9.0,10.0,59.0,3.5,31.0,6.1,81.55,LR,5.0,C
10.0,11.0,55.0,3.9,23.0,6.9,81.67,LR,5.0,C
11.0,11.0,66.0,4.1,28.0,6.0,82.08,LL,5.0,C
12.0,14.0,63.0,2.9,24.0,10.8,82.39,LL,5.0,A
13.0,14.0,38.0,3.0,28.0,8.1,80.72,LR,5.0,B
14.0,13.0,75.0,5.1,30.0,3.7,82.9,CC,3.0,C
15.0,14.0,62.0,6.0,21.0,3.8,82.88,LL,5.0,B
16.0,14.0,73.0,4.3,27.0,8.7,83.29,CC,4.0,B
17.0,1.0,29.0,2.2,32.0,1.7,78.27,UR,3.0,C
18.0,3.0,71.0,3.3,28.0,3.4,80.21,UL,5.0,A
19.0,4.0,36.0,2.5,30.0,3.8,79.39,UR,3.0,B
20.0,2.0,54.0,2.5,21.0,4.3,80.06,UR,4.0,A
21.0,6.0,78.0,4.0,24.0,4.0,82.23,LL,4.0,A
22.0,5.0,61.0,2.5,23.0,7.9,81.27,LR,3.0,A
23.0,1.0,31.0,1.6,21.0,2.2,78.0,UR,3.0,A
24.0,1.0,40.0,1.9,31.0,4.2,79.13,UR,3.0,C
25.0,4.0,38.0,1.0,28.0,7.2,79.21,UR,4.0,C
26.0,4.0,47.0,2.7,23.0,6.4,80.34,LR,5.0,B
