StdOrder,RunOrder,Blocks,CenterPt,A,B,C,D,Response
11.0,1.0,1.0,1.0,T2,Silver,B,On,8.4
10.0,2.0,1.0,1.0,T2,Silver,M,Off,8.26
2.0,3.0,1.0,1.0,T1,Silver,M,Off,7.96
8.0,4.0,1.0,1.0,T1,Black,B,Off,8.32
7.0,5.0,1.0,1.0,T1,Black,B,On,9.58
16.0,6.0,1.0,1.0,T2,Black,B,Off,8.870000000000001
12.0,7.0,1.0,1.0,T2,Silver,B,Off,7.38
14.0,8.0,1.0,1.0,T2,Black,M,Off,8.81
13.0,9.0,1.0,1.0,T2,Black,M,On,9.36
5.0,10.0,1.0,1.0,T1,Black,M,On,8.870000000000001
9.0,11.0,1.0,1.0,T2,Silver,M,On,7.95
15.0,12.0,1.0,1.0,T2,Black,B,On,9.13
1.0,13.0,1.0,1.0,T1,Silver,M,On,8.15
4.0,14.0,1.0,1.0,T1,Silver,B,Off,7.88
3.0,15.0,1.0,1.0,T1,Silver,B,On,8.39
6.0,16.0,1.0,1.0,T1,Black,M,Off,9.200000000000001
