StdOrder,RunOrder,PtType,Blocks,LL,ML,Project Y,CT,LUM
1.0,1.0,1.0,1.0,0.6,2.04,773.0,7596.22,592.52748418927
8.0,2.0,-1.0,1.0,0.65,2.161,765.0,7580.62,594.52805229153
6.0,3.0,-1.0,1.0,0.721,2.09,781.0,7574.11540687754,592.3939854074815
11.0,4.0,0.0,1.0,0.65,2.09,761.0,7585.164359208547,592.1142809779001
3.0,5.0,1.0,1.0,0.6,2.14,764.0,7590.114445149734,591.896903589015
12.0,6.0,0.0,1.0,0.65,2.09,761.0,7585.78,589.6356060401171
10.0,7.0,0.0,1.0,0.65,2.09,760.0,7585.55,594.8947275497541
13.0,8.0,0.0,1.0,0.65,2.09,762.0,7585.535789875713,592.1
7.0,9.0,-1.0,1.0,0.65,2.019,772.0,7590.944173860809,592.16149731582
2.0,10.0,1.0,1.0,0.7,2.04,774.0,7581.590666028881,587.66025045553
5.0,11.0,-1.0,1.0,0.579,2.09,767.0,7596.256831577296,591.306373120918
4.0,12.0,1.0,1.0,0.7,2.14,777.0,7574.221182214182,596.4451929723165
9.0,13.0,0.0,1.0,0.65,2.09,762.0,7585.287690189351,593.34427959715
