ID,Class,Date,Noise,Materials,Pre.Mod
1.0,Old,1.M,83.57241482649388,2.0,0.0
2.0,Old,1.M,94.5222710780146,3.0,1.0
3.0,Old,1.M,88.7677969393156,2.0,0.0
4.0,Old,1.M,96.60204868834114,4.0,0.0
5.0,Old,1.M,82.46179799886869,3.0,0.0
6.0,Old,1.A,84.6821608939632,2.0,0.0
7.0,Old,1.A,86.24923972908857,2.0,0.0
8.0,Old,1.A,83.2774477713809,4.0,1.0
9.0,Old,1.A,91.44884579684904,2.0,0.0
10.0,Old,1.A,86.27955823144401,4.0,0.0
11.0,Old,2.M,95.87947355630006,5.0,1.0
12.0,Old,2.M,86.61869576236964,3.0,1.0
13.0,Old,2.M,89.73974188693614,1.0,0.0
14.0,Old,2.M,87.99000330152326,4.0,0.0
15.0,Old,2.M,89.14439636283983,3.0,0.0
16.0,Old,2.A,93.66138448655019,1.0,0.0
17.0,Old,2.A,97.43807755936237,5.0,0.0
18.0,Old,2.A,83.20386181540468,5.0,1.0
19.0,Old,2.A,97.5,5.0,0.0
20.0,Old,2.A,86.04958426907827,3.0,1.0
21.0,Old,3.M,87.22774858845833,2.0,0.0
22.0,Old,3.M,88.46879027517275,1.0,0.0
23.0,Old,3.M,89.51725592491259,1.0,0.0
24.0,Old,3.M,79.87494045757582,4.0,0.0
25.0,Old,3.M,86.42684524919821,3.0,0.0
26.0,Old,3.A,91.88172010588629,1.0,0.0
27.0,Old,3.A,86.98889031320702,4.0,1.0
28.0,Old,3.A,99.5,5.0,0.0
29.0,Old,3.A,82.56467279667937,1.0,0.0
30.0,Old,3.A,94.54016995412374,1.0,0.0
31.0,Old,4.M,93.08273885397087,1.0,0.0
32.0,Old,4.M,88.05264751068991,1.0,1.0
33.0,Old,4.M,89.33610826209288,1.0,0.0
34.0,Old,4.M,90.44462455700777,4.0,0.0
35.0,Old,4.M,96.85243318312114,4.0,0.0
36.0,Old,4.A,95.84733270183737,5.0,0.0
37.0,Old,4.A,90.3,1.0,1.0
38.0,Old,4.A,93.46994132562578,3.0,0.0
39.0,Old,4.A,93.2,3.0,0.0
40.0,Old,4.A,90.32115936596438,3.0,0.0
41.0,Old,5.M,90.83351507240064,3.0,0.0
42.0,Old,5.M,95.46161569722997,1.0,0.0
43.0,Old,5.M,94.63210994887616,3.0,0.0
44.0,Old,5.M,89.0950936778993,1.0,1.0
45.0,Old,5.M,89.17414593467703,4.0,1.0
46.0,Old,5.A,88.05536487529342,2.0,0.0
47.0,Old,5.A,95.55156993476155,4.0,0.0
48.0,Old,5.A,80.50326090099884,1.0,0.0
49.0,Old,5.A,91.01251656513364,3.0,0.0
50.0,Old,5.A,94.0441792698821,2.0,0.0
51.0,Old,6.M,93.7,4.0,1.0
52.0,Old,6.M,102.1,4.0,1.0
53.0,Old,6.M,96.3,4.0,0.0
54.0,Old,6.M,97.4,4.0,1.0
55.0,Old,6.M,99.2,5.0,1.0
56.0,Old,6.A,91.8882953718817,1.0,1.0
57.0,Old,6.A,93.93192769294068,1.0,0.0
58.0,Old,6.A,88.81735682517183,4.0,0.0
59.0,Old,6.A,79.53548483542791,1.0,0.0
60.0,Old,6.A,89.96856079726336,2.0,1.0
61.0,Old,7.M,88.18680647207985,3.0,0.0
62.0,Old,7.M,92.28036975459139,3.0,0.0
63.0,Old,7.M,91.81144649430429,2.0,0.0
64.0,Old,7.M,88.65600199213829,2.0,0.0
65.0,Old,7.M,85.64166038190966,4.0,0.0
66.0,Old,7.A,87.84708233905943,1.0,1.0
67.0,Old,7.A,93.71086095420755,1.0,0.0
68.0,Old,7.A,87.52377209977521,3.0,0.0
69.0,Old,7.A,93.89300319527003,1.0,0.0
70.0,Old,7.A,77.18515065754643,1.0,1.0
71.0,New,N.1.M,75.75015331039614,3.0,0.0
72.0,New,N.1.M,74.32602996561204,4.0,0.0
73.0,New,N.1.M,82.94317432104413,1.0,0.0
74.0,New,N.1.M,79.6349487766169,2.0,1.0
75.0,New,N.1.M,77.07638769387582,2.0,0.0
76.0,New,N.1.A,80.07384677244548,2.0,0.0
77.0,New,N.1.A,76.90292454593292,3.0,0.0
78.0,New,N.1.A,74.083227689659,5.0,0.0
79.0,New,N.1.A,81.48859295494094,2.0,0.0
80.0,New,N.1.A,78.68200759223062,2.0,0.0
81.0,New,N.2.M,81.22417536461448,5.0,1.0
82.0,New,N.2.M,75.86504440203471,5.0,0.0
83.0,New,N.2.M,78.4349341701885,4.0,0.0
84.0,New,N.2.M,82.59494661667631,5.0,0.0
85.0,New,N.2.M,77.90256062950453,3.0,1.0
86.0,New,N.2.A,78.382304147128,4.0,1.0
87.0,New,N.2.A,78.43249105050836,2.0,0.0
88.0,New,N.2.A,79.14260357996551,2.0,0.0
89.0,New,N.2.A,79.45251313485895,3.0,0.0
90.0,New,N.2.A,77.42683243838434,2.0,0.0
91.0,New,N.3.M,75.94492521296603,1.0,1.0
92.0,New,N.3.M,83.35787400823536,2.0,0.0
93.0,New,N.3.M,81.66235631694937,3.0,0.0
94.0,New,N.3.M,82.97008469154585,4.0,0.0
95.0,New,N.3.M,81.77335128349333,4.0,0.0
96.0,New,N.3.A,80.89561092942283,3.0,0.0
97.0,New,N.3.A,86.03545384967708,3.0,0.0
98.0,New,N.3.A,85.099292388913,3.0,0.0
99.0,New,N.3.A,77.70433957863031,1.0,1.0
100.0,New,N.3.A,78.4772712437922,4.0,0.0
101.0,New,N.4.M,79.48413865901333,5.0,0.0
102.0,New,N.4.M,81.70785470957244,1.0,0.0
103.0,New,N.4.M,77.28561690644783,5.0,0.0
104.0,New,N.4.M,82.57480838385911,2.0,0.0
105.0,New,N.4.M,79.4852809867494,3.0,1.0
106.0,New,N.4.A,73.79479249718844,4.0,0.0
107.0,New,N.4.A,77.9451271671677,4.0,0.0
108.0,New,N.4.A,78.71127076441974,5.0,1.0
109.0,New,N.4.A,75.56440769068537,2.0,0.0
110.0,New,N.4.A,77.2179731195674,3.0,1.0
111.0,New,N.5.M,78.38016243356962,1.0,0.0
112.0,New,N.5.M,83.62300193482845,4.0,0.0
113.0,New,N.5.M,80.33117187608413,5.0,0.0
114.0,New,N.5.M,72.74035375053914,2.0,0.0
115.0,New,N.5.M,79.81182948982274,4.0,0.0
116.0,New,N.5.A,83.47690599612746,5.0,0.0
117.0,New,N.5.A,81.13322348007036,5.0,1.0
118.0,New,N.5.A,77.4630951409856,1.0,0.0
119.0,New,N.5.A,76.79674031326701,3.0,0.0
120.0,New,N.5.A,80.47871018227796,4.0,1.0
121.0,New,N.6.M,76.73556857710457,3.0,0.0
122.0,New,N.6.M,81.63207336621633,1.0,0.0
123.0,New,N.6.M,81.27919357970036,2.0,0.0
124.0,New,N.6.M,77.9725328563963,2.0,1.0
125.0,New,N.6.M,77.543199917192,1.0,0.0
126.0,New,N.6.A,80.58321440952425,1.0,1.0
127.0,New,N.6.A,77.00889995884373,1.0,0.0
128.0,New,N.6.A,76.68220010854421,3.0,1.0
129.0,New,N.6.A,79.1302343112703,4.0,0.0
130.0,New,N.6.A,73.94537894364711,5.0,0.0
131.0,New,N.7.M,78.99798071505927,3.0,1.0
132.0,New,N.7.M,75.7779573482743,4.0,0.0
133.0,New,N.7.M,77.53271553315777,4.0,0.0
134.0,New,N.7.M,86.34976371041793,4.0,0.0
135.0,New,N.7.M,82.53680178987037,1.0,1.0
136.0,New,N.7.A,83.16029694069987,3.0,0.0
137.0,New,N.7.A,79.2565633976915,4.0,1.0
138.0,New,N.7.A,78.18900474462835,3.0,0.0
139.0,New,N.7.A,79.70029210504303,3.0,1.0
140.0,New,N.7.A,80.33583920540264,3.0,0.0
