ID,Date,Sample,NC,Sales.Q
1.0, 1.Tue,71.0,3.0,AVG
2.0, 1.Fri,44.0,6.0,LT.A
3.0, 2.Tue,41.0,2.0,LT.A
4.0, 2.Fri,37.0,9.0,LT.A
5.0, 3.Tue,87.0,7.0,GT.A
6.0, 3.Fri,72.0,4.0,AVG
7.0, 4.Tue,31.0,2.0,LT.A
8.0, 4.Fri,58.0,4.0,AVG
9.0, 5.Tue,93.0,7.0,GT.A
10.0, 5.Fri,90.0,8.0,GT.A
11.0, 6.Tue,95.0,8.0,GT.A
12.0, 6.Fri,64.0,6.0,AVG
13.0, 7.Tue,94.0,6.0,GT.A
14.0, 7.Fri,85.0,5.0,GT.A
15.0, 8.Tue,42.0,1.0,LT.A
16.0, 8.Fri,46.0,3.0,LT.A
17.0, 9.Tue,81.0,8.0,GT.A
18.0, 9.Fri,40.0,5.0,LT.A
19.0,10.Tue,71.0,4.0,AVG
20.0,10.Fri,45.0,2.0,LT.A
21.0,11.Tue,89.0,5.0,GT.A
22.0,11.Fri,72.0,5.0,AVG
23.0,12.Tue,87.0,3.0,GT.A
24.0,12.Fri,57.0,5.0,AVG
