ID,Date,NC,Inspector,Heat.C
1.0, 1.M,10.0,1.0,No
2.0, 1.A,4.0,1.0,No
3.0, 1.E,11.0,2.0,No
4.0, 2.M,8.0,2.0,No
5.0, 2.A,11.0,3.0,No
6.0, 2.E,9.0,3.0,No
7.0, 3.M,19.0,4.0,Yes
8.0, 3.A,7.0,4.0,No
9.0, 3.E,14.0,1.0,No
10.0, 4.M,6.0,1.0,No
11.0, 4.A,11.0,2.0,No
12.0, 4.E,22.0,2.0,Yes
13.0, 5.M,8.0,3.0,No
14.0, 5.A,5.0,3.0,No
15.0, 5.E,8.0,4.0,No
16.0, 6.M,14.0,4.0,No
17.0, 6.A,12.0,1.0,No
18.0, 6.E,10.0,1.0,No
19.0, 7.M,17.0,2.0,Yes
20.0, 7.A,13.0,2.0,No
21.0, 7.E,9.0,3.0,No
22.0, 8.M,14.0,3.0,No
23.0, 8.A,10.0,4.0,No
24.0, 8.E,11.0,4.0,No
25.0, 9.M,12.0,1.0,Yes
26.0, 9.A,5.0,1.0,No
27.0, 9.E,11.0,3.0,No
28.0,10.M,10.0,3.0,No
29.0,10.A,17.0,2.0,No
30.0,10.E,15.0,2.0,No
31.0,11.M,9.0,4.0,No
32.0,11.A,19.0,4.0,Yes
33.0,11.E,9.0,1.0,No
34.0,12.M,9.0,1.0,No
35.0,12.A,13.0,2.0,No
36.0,12.E,15.0,2.0,No
37.0,13.M,9.0,3.0,No
38.0,13.A,5.0,3.0,No
39.0,13.E,17.0,4.0,Yes
40.0,14.M,13.0,4.0,No
41.0,14.A,13.0,3.0,No
42.0,14.E,15.0,3.0,No
