ID,Date,No.Unit,NC,Inspector,Heat.C
1.0, 1.M,150.0,83.0,1.0,No
2.0, 1.A,179.0,93.0,1.0,No
3.0, 1.E,190.0,83.0,2.0,No
4.0, 2.M,150.0,106.0,2.0,Yes
5.0, 2.A,161.0,87.0,3.0,No
6.0, 2.E,151.0,92.0,3.0,No
7.0, 3.M,190.0,77.0,4.0,No
8.0, 3.A,180.0,93.0,4.0,No
9.0, 3.E,166.0,85.0,1.0,No
10.0, 4.M,150.0,91.0,1.0,No
11.0, 4.A,169.0,106.0,2.0,No
12.0, 4.E,170.0,88.0,2.0,Yes
13.0, 5.M,162.0,103.0,3.0,No
14.0, 5.A,155.0,90.0,3.0,No
15.0, 5.E,169.0,69.0,4.0,No
16.0, 6.M,160.0,87.0,4.0,No
17.0, 6.A,180.0,93.0,1.0,No
18.0, 6.E,162.0,77.0,1.0,No
19.0, 7.M,180.0,94.0,2.0,Yes
20.0, 7.A,182.0,60.0,2.0,No
21.0, 7.E,150.0,89.0,3.0,No
22.0, 8.M,160.0,97.0,3.0,No
23.0, 8.A,150.0,82.0,4.0,No
24.0, 8.E,169.0,73.0,4.0,No
25.0, 9.M,173.0,93.0,1.0,Yes
26.0, 9.A,164.0,89.0,1.0,No
27.0, 9.E,185.0,80.0,3.0,No
28.0,10.M,180.0,96.0,3.0,No
29.0,10.A,160.0,88.0,2.0,No
30.0,10.E,150.0,86.0,2.0,No
31.0,11.M,190.0,81.0,4.0,No
32.0,11.A,168.0,92.0,4.0,Yes
33.0,11.E,186.0,100.0,1.0,No
34.0,12.M,170.0,80.0,1.0,No
35.0,12.A,170.0,100.0,2.0,No
36.0,12.E,170.0,106.0,2.0,No
37.0,13.M,170.0,108.0,3.0,No
38.0,13.A,160.0,85.0,3.0,No
39.0,13.E,190.0,88.0,4.0,No
40.0,14.M,150.0,105.0,4.0,Yes
41.0,14.A,173.0,89.0,3.0,No
42.0,14.E,172.0,84.0,3.0,No
